Tiplabels,DRrate
Hypericum_punctatum,0.240774113495534
Hypericum_seniawinii,0.411701257405861
Hypericum_erectum,0.411701257405861
Hypericum_perforatum,0.11296959115025
Hypericum_stragulum,0.215053702806327
Hypericum_drummondii,0.215053702806327
Hypericum_hypericoides,0.108563999182932
Hypericum_sampsonii,0.0404032127876817
Triadenum_breviflorum,0.0287506081869154
Triadenum_sp,0.109184961288964
Hypericum_walteri,0.109184961288964
Triadenum_virginicum,0.100511917476767
Triadenum_fraseri,0.100511917476767
Hypericum_densiflorum,0.0157771218211135
Hypericum_crux-andreae,0.0157771218211135
Passiflora_lutea,0.0217740520420267
Passiflora_incarnata,0.037417963412848
Passiflora_vitifolia,0.037417963412848
Piriqueta_cistoides,0.0201629755604356
Piriqueta_cistoides_subsp._caroliniana,0.0201629755604356
Salix_fargesii,0.0326651444524654
Salix_subfragilis,0.0326651444524654
Salix_rosmarinifolia,0.0326651444524654
Salix_linearistipularis,0.0326651444524654
Salix_polyadenia,0.0326651444524654
Salix_cheilophila,0.0326651444524654
Chosenia_maximowiczii,0.0326651444524654
Salix_sp,0.0326651444524654
Salix_moupinensis,0.0326651444524654
Salix_starkeana,0.0326651444524654
Salix_xerophila,0.0326651444524654
Salix_disperma,0.0326651444524654
Salix_sinica,0.0326651444524654
Salix_cathayana,0.0326651444524654
Salix_yanbianica,0.0326651444524654
Salix_bebbiana,0.154186762943923
Salix_discolor,0.261808442537965
Salix_eriocephala,0.261808442537965
Salix_purpurea,0.149932938118363
Salix_raddeana,0.149932938118363
Salix_nummularia,0.20012025114354
Salix_myrtilloides,2.67853815855556
Salix_kangensis,4.96782130398091
Salix_integra,4.96782130398084
Salix_taraikensis,2.57760212410001
Salix_planifolia,2.57760212410001
Salix_siuzevii,1.3662677811299
Salix_rorida,4.27791500047296
Salix_arbutifolia,6.79286138308546
Salix_schwerinii,11.5833670700845
Salix_viminalis,11.5833670700841
Salix_caprea,2.49886632374851
Salix_gracilistyla,0.744724807750922
Salix_rotundifolia,1.43968074357327
Salix_reinii,1.43968074357327
Salix_triandra,0.0543707172731137
Salix_mesnyi,0.144317649203507
Salix_alba,0.395974244385618
Salix_pentandra,0.395974244385618
Salix_babylonica,0.318720065719931
Salix_lucida,0.267881340122929
Salix_dunnii,0.322669420086801
Salix_rosthornii,0.322669420086801
Salix_matsudana,0.166534786915831
Salix_chienii,0.166534786915831
Salix_petiolaris,0.174941840518879
Salix_sericea,0.321155160131537
Salix_humilis,0.321155160131537
Salix_nigra,0.199119734237286
Salix_caroliniana,0.199119734237286
Populus_x_jackii,0.0341262342660151
Populus_pseudosimonii,0.0341262342660151
Populus_pseudomaximowiczii,0.0341262342660151
Populus_sp,0.0341262342660151
Populus_x_canadensis,0.0341262342660151
Populus_deltoides,0.151275990918238
Populus_balsamifera,0.151275990918238
Populus_koreana,0.246415158261337
Populus_ussuriensis,0.246415158261337
Populus_maximowiczii,0.155462103346356
Populus_cathayana,0.0969540563510086
Populus_tremuloides,0.289589011389971
Populus_tomentosa,0.588506638826615
Populus_davidiana,0.588506638826615
Populus_adenopoda,0.473884537027969
Populus_grandidentata,0.473884537027969
Populus_nigra,0.199869668871697
Populus_lasiocarpa,0.238144091491985
Populus_candicans,0.436634756106502
Populus_simonii,0.436634756106502
Xylosma_congesta,0.0190521329908265
Idesia_polycarpa,0.0190521329908265
Viola_muehldorfii,0.0231485205427267
Viola_appalachiensis,0.0231485205427267
Viola_eamesii,0.0231485205427267
Viola_brittoniana,0.0231485205427267
Viola_concordifolia,0.0231485205427267
Viola_schneideri,0.0231485205427267
Viola_septentrionalis,0.0231485205427267
Viola_papilionacea,0.0231485205427267
Viola_emarginata,0.0231485205427267
Viola_conspersa,0.0231485205427267
Viola_diffusa_var._brevibarbata,0.0231485205427267
Viola_pubescens_var._scabriuscula,0.0231485205427267
Viola_dactyloides,0.146746033235342
Viola_selkirkii,0.146746033235342
Viola_inconspicua,0.317476298307705
Viola_betonicifolia,0.633531002160124
Viola_patrinii,0.633531002160124
Viola_phalacrocarpa,0.217879739757194
Viola_prionantha,0.295935895652116
Viola_variegata,0.295935895652116
Viola_philippica,0.329094953648562
Viola_mandshurica,0.441745313041481
Viola_dissecta,0.441745313041481
Viola_chaerophylloides,0.180167868641144
Viola_japonica,0.180167868641144
Viola_magnifica,0.169687161718692
Viola_yezoensis,0.169687161718692
Viola_canadensis,0.244048446758458
Viola_rotundifolia,0.244048446758458
Viola_biflora,0.171541911911289
Viola_pubescens,0.109397073945292
Viola_hondoensis,0.364689796524218
Viola_collina,0.364689796524218
Viola_striata,0.285545744240194
Viola_hastata,0.203725665567165
Viola_stewardiana,0.474641500509349
Viola_grypoceras,0.474641500509349
Viola_mirabilis,0.74942525394398
Viola_sacchalinensis,0.74942525394398
Viola_acuminata,0.507743139897044
Viola_labradorica,0.528748295772727
Viola_adunca,0.528748295772727
Viola_websteri,0.222361657638311
Viola_bicolor,0.111347888516835
Viola_palustris,0.715894437315949
Viola_epipsila,0.715894437315949
Viola_vaginata,0.41471130688201
Viola_palmata,0.669839814712826
Viola_cucullata,1.32534482768093
Viola_sororia,1.32534482768093
Viola_macloskeyi,0.780913310950461
